PLYNO,FROM_DATE,TO_DATE,BEGIN_BALANCE,ANNUAL_EXPENSE,BASE_AFTER_ANNUAL,FACTOR,END_BALANCE
282120090000067,2019-01-01,2020-01-01,1.952413234893813E7,-19524.132348938132,1.950460821658919E7,1.021821917808219,1.9930236173973113E7
282120090000067,2020-01-01,2021-01-01,1.9930236173973113E7,-19930.236173973113,1.991030593779914E7,1.02,2.0308512056555122E7
282120090000067,2021-01-01,2022-01-01,2.0308512056555122E7,-20308.512056555122,2.0288203544498567E7,1.02,2.069396761538854E7
282120090000067,2022-01-01,2023-01-01,2.069396761538854E7,-20693.967615388538,2.067327364777315E7,1.0228487671232878,2.114563246302712E7
282120090000067,2023-01-01,2024-01-01,2.114563246302712E7,-21145.632463027123,2.1124486830564093E7,1.0319098630136987,2.1798566311562076E7
282120090000067,2024-01-01,2025-01-01,2.1798566311562076E7,-21798.566311562074,2.1776767745250516E7,1.0284103825136612,2.239545404680424E7
282120090000065,2019-10-05,2020-10-05,1.9352212143823836E7,-19352.21214382384,1.9332859931680012E7,1.0200355191256831,1.9720203816595342E7
282120090000065,2020-10-05,2021-10-05,1.9720203816595342E7,-19720.20381659534,1.9700483612778746E7,1.02,2.009449328503432E7
282120090000065,2021-10-05,2022-10-05,2.009449328503432E7,-20094.49328503432,2.0074398791749287E7,1.0209309589041096,2.04945752078841E7
282120090000064,2019-10-05,2020-10-05,1.9352212143823836E7,-19352.21214382384,1.9332859931680012E7,1.0200355191256831,1.9720203816595342E7
282120090000064,2020-10-05,2021-10-05,1.9720203816595342E7,-19720.20381659534,1.9700483612778746E7,1.02,2.009449328503432E7
282120090000064,2021-10-05,2022-10-05,2.009449328503432E7,-20094.49328503432,2.0074398791749287E7,1.0209309589041096,2.04945752078841E7
282120090000064,2022-10-05,2023-10-05,2.04945752078841E7,-20494.5752078841,2.0474080632676214E7,1.0303372602739727,2.1095208145700015E7
282120090000064,2023-10-05,2024-10-05,2.1095208145700015E7,-21095.208145700017,2.1074112937554315E7,1.0303726775956283,2.171419017542051E7
282120090000064,2024-10-05,2025-10-05,2.171419017542051E7,-21714.19017542051,2.169247598524509E7,1.0234865753424658,2.2201957956837177E7
